id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
336024,2,16,6,Y Venugopal Rao,DB Ravi Teja,CRD Fernando,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,16,7,Y Venugopal Rao,DB Ravi Teja,CRD Fernando,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,17,1,Y Venugopal Rao,DB Ravi Teja,DJ Bravo,0,0,0,0,1,caught,Y Venugopal Rao,PR Shah,NA,Deccan Chargers,Mumbai Indians
336024,2,17,2,DB Ravi Teja,DNT Zoysa,DJ Bravo,6,0,6,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,17,3,DB Ravi Teja,DNT Zoysa,DJ Bravo,0,0,0,0,1,bowled,DB Ravi Teja,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,17,4,H Das,DNT Zoysa,DJ Bravo,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,17,5,H Das,DNT Zoysa,DJ Bravo,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,17,6,H Das,DNT Zoysa,DJ Bravo,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,18,1,H Das,DNT Zoysa,CRD Fernando,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,18,2,DNT Zoysa,H Das,CRD Fernando,2,0,2,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,18,3,DNT Zoysa,H Das,CRD Fernando,4,0,4,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,18,4,DNT Zoysa,H Das,CRD Fernando,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,18,5,H Das,DNT Zoysa,CRD Fernando,0,0,0,0,1,run out,H Das,YV Takawale,NA,Deccan Chargers,Mumbai Indians
336024,2,18,6,DNT Zoysa,RP Singh,CRD Fernando,2,0,2,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,19,1,RP Singh,DNT Zoysa,A Nehra,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,19,2,DNT Zoysa,RP Singh,A Nehra,0,1,1,0,0,NA,NA,NA,legbyes,Deccan Chargers,Mumbai Indians
336024,2,19,3,RP Singh,DNT Zoysa,A Nehra,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,19,4,DNT Zoysa,RP Singh,A Nehra,0,1,1,0,0,NA,NA,NA,legbyes,Deccan Chargers,Mumbai Indians
336024,2,19,5,RP Singh,DNT Zoysa,A Nehra,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,19,6,DNT Zoysa,RP Singh,A Nehra,1,0,1,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,6,5,Y Venugopal Rao,LPC Silva,CRD Fernando,2,0,2,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
336024,2,6,6,Y Venugopal Rao,LPC Silva,CRD Fernando,0,0,0,0,0,NA,NA,NA,NA,Deccan Chargers,Mumbai Indians
